,M
39988,778
39989,438
39990,437
39991,42
39992,-110
39993,-495
39994,-652
39995,-400
39996,64
39997,479
39998,750
39999,246
40000,132
40001,-22
40002,17
40003,525
40004,556
40005,213
40006,114
40007,-310
40008,-648
40009,-279
40010,98
40011,480
40012,396
40013,80
40014,-345
40015,-691
40016,-959
40017,-951
40018,-1156
40019,-1094
40020,-1488
40021,-1469
40022,-1856
40023,-2062
40024,-1923
40025,-1606
40026,-1232
40027,-783
40028,-158
40029,-73
40030,659
40031,874
40032,1033
40033,1648
40034,1705
40035,1569
40036,1312
40037,1094
40038,899
40039,625
40040,401
40041,208
40042,-238
40043,-353
40044,-767
40045,-621
40046,-614
40047,-441
40048,-458
40049,-341
40050,-59
40051,10
40052,538
40053,704
40054,700
40055,593
40056,279
40057,203
40058,755
40059,585
40060,801
40061,442
40062,560
40063,314
40064,374
40065,-32
40066,312
40067,412
40068,358
40069,3
40070,108
40071,-256
40072,-98
40073,-2
40074,-181
40075,278
40076,-52
40077,-135
40078,-338
40079,-247
40080,-87
40081,-127
40082,30
40083,-40
40084,-357
40085,-332
40086,-414
40087,-360
40088,-820
40089,-763
40090,-758
40091,-1272
40092,-1194
40093,-1298
40094,-1498
40095,-1537
40096,-1482
40097,-1418
40098,-994
40099,-894
40100,-613
40101,-539
40102,-449
40103,-4
40104,548
40105,580
40106,804
40107,1058
40108,1178
40109,1379
40110,1474
40111,1638
40112,2031
40113,2018
40114,1334
40115,931
40116,507
40117,150
40118,261
40119,163
40120,-292
40121,-639
40122,-790
40123,-814
40124,-818
40125,-748
40126,-761
40127,-356
40128,-382
40129,-6
40130,139
40131,257
40132,646
40133,522
40134,317
40135,125
40136,356
40137,259
40138,765
40139,983
40140,1133
40141,1051
40142,822
40143,418
40144,-20
40145,-443
40146,-50
40147,209
40148,164
40149,22
40150,-263
40151,-800
40152,-664
40153,-556
40154,-29
40155,328
40156,207
40157,147
40158,14
40159,-40
40160,105
40161,394
40162,312
40163,58
40164,-198
40165,-543
40166,-952
40167,-1154
40168,-1347
40169,-1022
40170,-1281
40171,-1270
40172,-1100
40173,-849
40174,-1079
40175,-1081
40176,-1000
40177,-822
40178,-362
40179,127
40180,485
40181,845
40182,899
40183,1175
40184,1168
40185,936
40186,1140
40187,1418
40188,1693
40189,1257
40190,706
40191,17
40192,-271
40193,-560
40194,-758
40195,-675
40196,-266
40197,10
40198,132
40199,-432
40200,-921
40201,-748
40202,-466
40203,159
40204,405
40205,16
40206,33
40207,-10
40208,-69
40209,135
40210,74
40211,488
40212,454
40213,570
40214,637
40215,951
40216,1197
40217,1286
40218,1227
40219,428
40220,260
40221,103
40222,-28
40223,-509
40224,-389
40225,-654
40226,-822
40227,-797
40228,-721
40229,-211
40230,-97
40231,-6
40232,221
40233,297
40234,485
40235,582
40236,324
40237,42
40238,123
40239,-59
40240,-311
40241,-536
40242,-930
40243,-1068
40244,-1202
40245,-1259
40246,-1191
40247,-1283
40248,-1155
40249,-764
40250,-674
40251,-353
40252,-300
40253,-113
40254,-13
40255,328
40256,430
40257,694
40258,959
40259,1333
40260,1348
40261,1538
40262,1495
40263,1376
40264,1336
40265,883
40266,541
40267,167
40268,-218
40269,-204
40270,-487
40271,-501
40272,-504
40273,-957
40274,-1021
40275,-1152
40276,-872
40277,-936
40278,-480
40279,-803
40280,-613
40281,-133
40282,-35
40283,255
40284,230
40285,343
40286,524
40287,425
40288,361
40289,622
40290,935
40291,1234
40292,1152
40293,824
40294,420
40295,-92
40296,-146
40297,-353
40298,-248
40299,-228
40300,-32
40301,-122
40302,-522
40303,-691
40304,-483
40305,-218
40306,170
40307,153
40308,356
40309,97
40310,71
40311,-102
40312,113
40313,326
40314,332
40315,229
40316,-126
40317,-487
40318,-593
40319,-623
40320,-401
40321,-366
40322,-629
40323,-484
40324,-661
40325,-671
40326,-538
40327,-342
40328,-157
40329,88
40330,-62
40331,-104
40332,149
40333,262
40334,451
40335,676
40336,819
40337,990
40338,1133
40339,827
40340,408
40341,121
40342,-355
40343,-323
40344,-388
40345,-562
40346,-323
40347,22
40348,-116
40349,-496
40350,-521
40351,-604
40352,-414
40353,-410
40354,-228
40355,-5
40356,347
40357,214
40358,314
40359,51
40360,373
40361,759
40362,1006
40363,1059
40364,853
40365,879
40366,916
40367,787
40368,638
40369,426
40370,31
40371,-103
40372,-357
40373,-472
40374,-349
40375,-416
40376,-531
40377,-724
40378,-761
40379,-631
40380,-612
40381,-365
40382,-293
40383,-185
40384,-141
40385,-206
40386,-41
40387,32
40388,158
40389,205
40390,173
40391,-222
40392,-208
40393,-524
40394,-539
40395,-524
40396,-654
40397,-809
40398,-767
40399,-758
40400,-455
40401,-644
40402,-317
40403,-68
40404,56
40405,370
40406,297
40407,291
40408,328
40409,427
40410,613
40411,427
40412,650
40413,697
40414,874
40415,1032
40416,829
40417,847
40418,626
40419,570
40420,493
40421,440
40422,133
40423,-1
40424,-434
40425,-586
40426,-723
40427,-830
40428,-1034
40429,-1151
40430,-939
40431,-555
40432,60
40433,253
40434,716
40435,595
40436,797
40437,739
40438,923
40439,1065
40440,1030
40441,998
40442,644
40443,744
40444,361
40445,302
40446,-6
40447,-195
40448,-399
40449,-393
40450,-502
40451,-625
40452,-470
40453,-637
40454,-323
40455,-349
40456,-327
40457,34
40458,67
40459,43
40460,89
40461,82
40462,138
40463,159
40464,-104
40465,-499
40466,-585
40467,-601
40468,-694
40469,-614
40470,-489
40471,-379
40472,-149
40473,-386
40474,-375
40475,-364
40476,-352
40477,-123
40478,-139
40479,-26
40480,-25
40481,70
40482,114
40483,247
40484,228
40485,121
40486,345
40487,442
40488,560
40489,553
40490,521
40491,690
40492,667
40493,435
40494,425
40495,514
40496,-51
40497,-140
40498,-597
40499,-561
40500,-640
40501,-680
40502,-916
40503,-1027
40504,-962
40505,-907
40506,-432
40507,-106
40508,193
40509,515
40510,731
40511,953
40512,1106
40513,1202
40514,1270
40515,1434
40516,1266
40517,1148
40518,908
40519,769
40520,496
40521,372
40522,109
40523,-244
40524,-338
40525,-499
40526,-540
40527,-651
40528,-734
40529,-632
40530,-780
40531,-826
40532,-640
40533,-589
40534,-634
40535,-361
40536,-443
40537,-206
40538,-340
40539,-231
40540,-271
40541,-185
40542,-221
40543,-62
40544,-129
40545,-275
40546,-42
40547,-50
40548,11
40549,176
40550,333
40551,390
40552,468
40553,274
40554,118
40555,-57
40556,-51
40557,178
40558,260
40559,524
40560,529
40561,575
40562,607
40563,440
40564,308
40565,94
40566,104
40567,204
40568,43
40569,56
40570,-253
40571,-345
40572,-357
40573,-559
40574,-579
40575,-571
40576,-597
40577,-309
40578,-508
40579,-448
40580,-476
40581,-498
40582,-525
40583,-153
40584,-26
40585,300
40586,412
40587,570
40588,473
40589,546
40590,527
40591,532
40592,745
40593,704
40594,643
40595,416
40596,134
40597,-11
40598,-117
40599,-212
40600,-380
40601,-620
40602,-827
40603,-901
40604,-805
40605,-835
40606,-578
40607,-608
40608,-567
40609,-402
40610,-330
40611,187
40612,339
40613,733
40614,890
40615,543
40616,184
40617,80
40618,161
40619,29
40620,62
40621,19
40622,41
40623,17
40624,167
40625,135
40626,353
40627,486
40628,476
40629,369
40630,148
40631,250
40632,302
40633,46
40634,70
40635,112
40636,124
40637,164
40638,-12
40639,-266
40640,-287
40641,-220
40642,47
40643,73
40644,32
40645,17
40646,-34
40647,-249
40648,-322
40649,-517
40650,-415
40651,-499
40652,-565
40653,-997
40654,-850
40655,-739
40656,-494
40657,-209
40658,-18
40659,194
40660,395
40661,546
40662,609
40663,863
40664,888
40665,945
40666,958
40667,682
40668,522
40669,607
40670,231
40671,147
40672,74
40673,-137
40674,-214
40675,-278
40676,-438
40677,-504
40678,-517
40679,-469
40680,-539
40681,-576
40682,-679
40683,-686
40684,-657
40685,-654
40686,-518
40687,-430
40688,-429
40689,-298
40690,-160
40691,-232
40692,-158
40693,-141
40694,23
40695,204
40696,210
40697,414
40698,374
40699,488
40700,542
40701,391
40702,288
40703,128
40704,88
40705,-58
40706,-36
40707,-165
40708,37
40709,195
40710,248
40711,401
40712,401
40713,341
40714,339
40715,443
40716,261
40717,146
40718,-12
40719,-80
40720,114
40721,-72
40722,-261
40723,-696
40724,-599
40725,-821
40726,-527
40727,-445
40728,-434
40729,-497
40730,-599
40731,-576
40732,-452
40733,-169
40734,340
40735,517
40736,565
40737,709
40738,671
40739,559
40740,508
40741,566
40742,635
40743,616
40744,432
40745,128
40746,108
40747,199
40748,304
40749,349
40750,172
40751,-70
40752,-372
40753,-470
40754,-520
40755,-497
40756,-378
40757,-330
40758,-494
40759,-623
40760,-388
40761,-297
40762,-160
40763,-317
40764,-294
40765,-369
40766,-400
40767,-379
40768,-362
40769,-134
40770,-117
40771,194
40772,198
40773,224
40774,396
40775,519
40776,731
40777,692
40778,721
40779,384
40780,284
40781,-137
40782,-503
40783,-557
40784,-448
40785,-166
40786,-131
40787,-283
40788,-310
40789,-267
40790,-375
40791,-293
40792,-35
40793,29
40794,232
40795,132
40796,22
40797,-152
40798,-316
40799,-558
40800,-644
40801,-689
40802,-535
40803,-521
40804,-608
40805,-669
40806,-581
40807,-478
40808,-277
40809,269
40810,543
40811,1023
40812,1212
40813,944
40814,802
40815,748
40816,707
40817,633
40818,563
40819,484
40820,430
40821,325
40822,368
40823,406
40824,223
40825,371
40826,168
40827,15
40828,-114
40829,68
40830,-194
40831,-417
40832,-515
40833,-626
40834,-742
40835,-729
40836,-576
40837,-422
40838,-547
40839,-488
40840,-282
40841,-163
40842,-185
40843,7
40844,-191
40845,-198
40846,-230
40847,-88
40848,169
40849,358
40850,324
40851,368
40852,272
40853,91
40854,179
40855,233
40856,269
40857,398
40858,401
40859,296
40860,149
40861,-114
40862,26
40863,194
40864,61
40865,-69
40866,-67
40867,-174
40868,-234
40869,-113
40870,-296
40871,-298
40872,-374
40873,-369
40874,-157
40875,-412
40876,-623
40877,-640
40878,-673
40879,-697
40880,-427
40881,-301
40882,-216
40883,75
40884,84
40885,179
40886,221
40887,405
40888,474
40889,493
40890,421
40891,305
40892,329
40893,203
40894,376
40895,392
40896,335
40897,419
40898,127
40899,-264
40900,-169
40901,-179
40902,-300
40903,-266
40904,-560
40905,-462
40906,-488
40907,-488
40908,-603
40909,-449
40910,-398
40911,-232
40912,-220
40913,-236
40914,-107
40915,42
40916,99
40917,248
40918,219
40919,100
40920,194
40921,117
40922,225
40923,328
40924,432
40925,629
40926,524
40927,506
40928,331
40929,350
40930,308
40931,621
40932,787
40933,615
40934,516
40935,347
40936,-62
40937,-178
40938,-59
40939,-232
40940,-251
40941,-454
40942,-510
40943,-484
40944,-585
40945,-248
40946,-172
40947,29
40948,-157
40949,-210
40950,-455
40951,-618
40952,-699
40953,-902
40954,-859
40955,-878
40956,-771
40957,-587
40958,-350
40959,119
40960,557
40961,509
40962,509
40963,360
40964,436
40965,610
40966,535
40967,493
40968,452
40969,294
40970,150
40971,-49
40972,-69
40973,0
40974,294
40975,402
40976,406
40977,190
40978,-34
40979,-216
40980,-179
40981,-305
40982,-206
40983,124
40984,-136
40985,-262
40986,-583
40987,-708
40988,-719
40989,-649
40990,-346
40991,-296
40992,-170
40993,-121
40994,-163
40995,-199
40996,-295
40997,-4
40998,67
40999,374
41000,356
41001,306
41002,275
41003,182
41004,5
41005,72
41006,152
41007,304
41008,437
41009,527
41010,487
41011,419
41012,420
41013,332
41014,321
41015,234
41016,2
41017,-21
41018,-285
41019,-416
41020,-334
41021,-271
41022,-197
41023,-127
41024,-202
41025,-266
41026,-458
41027,-405
41028,-231
41029,-277
41030,-156
41031,-136
41032,-114
41033,-330
41034,-296
41035,-315
41036,-136
41037,191
41038,379
41039,226
41040,182
41041,39
41042,189
41043,263
41044,265
41045,435
41046,288
41047,172
41048,216
41049,108
41050,275
41051,164
41052,66
41053,-266
41054,-180
41055,-300
41056,-269
41057,130
41058,198
41059,356
41060,370
41061,81
41062,-73
41063,-321
41064,-350
41065,-281
41066,-208
41067,-285
41068,-342
41069,-419
41070,-352
41071,-355
41072,-141
41073,151
41074,381
41075,600
41076,531
41077,667
41078,448
41079,168
41080,154
41081,125
41082,227
41083,254
41084,306
41085,281
41086,78
41087,-81
41088,-126
41089,-284
41090,-24
41091,63
41092,63
41093,-248
41094,-593
41095,-766
41096,-894
41097,-778
41098,-853
41099,-749
41100,-871
41101,-936
41102,-925
41103,-877
41104,-755
41105,-635
41106,-375
41107,-317
41108,-53
41109,110
41110,511
41111,713
41112,777
41113,643
41114,783
41115,929
41116,754
41117,667
41118,541
41119,488
41120,471
41121,306
41122,457
41123,437
41124,336
41125,370
41126,339
41127,416
41128,428
41129,423
41130,415
41131,25
41132,-18
41133,-156
41134,-134
41135,-314
41136,-392
41137,-407
41138,-626
41139,-471
41140,-369
41141,-391
41142,-424
41143,-474
41144,-615
41145,-605
41146,-533
41147,-305
41148,32
41149,267
41150,285
41151,114
41152,26
41153,-53
41154,-18
41155,197
41156,347
41157,608
41158,480
41159,485
41160,412
41161,319
41162,309
41163,397
41164,332
41165,101
41166,-156
41167,-376
41168,-491
41169,-636
41170,-498
41171,-288
41172,-271
41173,-351
41174,-548
41175,-522
41176,-534
41177,-375
41178,-325
41179,-271
41180,-190
41181,-148
41182,-11
41183,-94
41184,91
41185,336
41186,384
41187,235
41188,85
41189,-261
41190,-154
41191,31
41192,-8
41193,56
41194,125
41195,228
41196,188
41197,177
41198,40
41199,175
41200,211
41201,242
41202,150
41203,-75
41204,-61
41205,-81
41206,-90
41207,-196
41208,3
41209,24
41210,152
41211,118
41212,33
41213,-70
41214,-226
41215,-174
41216,-256
41217,-125
41218,-203
41219,-207
41220,-99
41221,-7
41222,365
41223,432
41224,514
41225,432
41226,285
41227,171
41228,235
41229,154
41230,59
41231,120
41232,59
41233,245
41234,144
41235,282
41236,287
41237,403
41238,289
41239,243
41240,-72
41241,-188
41242,-200
41243,-339
41244,-418
41245,-423
41246,-419
41247,-611
41248,-572
41249,-527
41250,-509
41251,-339
41252,-490
41253,-446
41254,-589
41255,-366
41256,-379
41257,-218
41258,-64
41259,147
41260,165
41261,198
41262,269
41263,208
41264,128
41265,247
41266,110
41267,128
41268,152
41269,58
41270,6
41271,109
41272,66
41273,345
41274,523
41275,505
41276,640
41277,574
41278,341
41279,199
41280,122
41281,141
41282,253
41283,359
41284,266
41285,4
41286,-144
41287,-372
41288,-419
41289,-465
41290,-577
41291,-599
41292,-741
41293,-566
41294,-528
41295,-387
41296,-208
41297,-72
41298,19
41299,11
41300,32
41301,-193
41302,-190
41303,-156
41304,-219
41305,-212
41306,-34
41307,141
41308,293
41309,313
41310,236
41311,375
41312,485
41313,934
41314,1045
41315,863
41316,633
41317,396
41318,210
41319,-45
41320,-177
41321,-254
41322,-261
41323,-252
41324,-448
41325,-423
41326,-508
41327,-713
41328,-602
41329,-589
41330,-364
41331,-39
41332,-112
41333,2
41334,112
41335,197
41336,193
41337,147
41338,130
41339,101
41340,116
41341,74
41342,-37
41343,-172
41344,-106
41345,-88
41346,-76
41347,0
41348,277
41349,420
41350,503
41351,588
41352,487
41353,334
41354,331
41355,299
41356,225
41357,88
41358,56
41359,-56
41360,-200
41361,-170
41362,-28
41363,27
41364,-71
41365,-63
41366,-229
41367,-470
41368,-536
41369,-478
41370,-241
41371,-170
41372,-144
41373,-156
41374,-55
41375,-5
41376,101
41377,56
41378,259
41379,192
41380,138
41381,92
41382,129
41383,274
41384,413
41385,521
41386,583
41387,273
41388,172
41389,80
41390,23
41391,59
41392,-110
41393,-200
41394,-448
41395,-516
41396,-521
41397,-619
41398,-574
41399,-590
41400,-640
41401,-842
41402,-875
41403,-830
41404,-714
41405,-477
41406,-405
41407,-275
41408,-86
41409,96
41410,209
41411,424
41412,497
41413,735
41414,579
41415,394
41416,430
41417,299
41418,442
41419,381
41420,482
41421,457
41422,513
41423,535
41424,441
41425,544
41426,493
41427,455
41428,395
41429,244
41430,279
41431,217
41432,210
41433,362
41434,381
41435,219
41436,282
41437,51
41438,-80
41439,-177
41440,-372
41441,-616
41442,-510
41443,-614
41444,-902
41445,-950
41446,-816
41447,-622
41448,-293
41449,-45
41450,136
41451,118
41452,-108
41453,22
41454,-102
41455,98
41456,480
41457,542
41458,476
41459,166
41460,42
41461,72
41462,184
41463,238
41464,219
41465,263
41466,114
41467,-128
41468,-180
41469,-204
41470,-71
41471,29
41472,-36
41473,-204
41474,-425
41475,-674
41476,-645
41477,-568
41478,-485
41479,-339
41480,-317
41481,-328
41482,-362
41483,-303
41484,-111
41485,132
41486,53
41487,35
41488,140
41489,15
41490,7
41491,-78
41492,-256
41493,-105
41494,113
41495,106
41496,90
41497,257
41498,442
41499,412
41500,238
41501,216
41502,277
41503,470
41504,444
41505,415
41506,118
41507,72
41508,167
41509,153
41510,289
41511,298
41512,413
41513,260
41514,134
41515,-206
41516,-253
41517,-424
41518,-330
41519,-342
41520,-417
41521,-492
41522,-234
41523,-42
41524,-48
41525,26
41526,97
41527,108
41528,206
41529,195
41530,84
41531,36
41532,-13
41533,-15
41534,81
41535,155
41536,285
41537,258
41538,239
41539,126
41540,21
41541,-112
41542,7
41543,-8
41544,-5
41545,118
41546,97
41547,-62
41548,-209
41549,-386
41550,-497
41551,-610
41552,-749
41553,-814
41554,-798
41555,-615
41556,-542
41557,-413
41558,-316
41559,-125
41560,-42
41561,19
41562,240
41563,310
41564,306
41565,289
41566,191
41567,297
41568,267
41569,294
41570,344
41571,341
41572,316
41573,318
41574,369
41575,227
41576,258
41577,294
41578,213
41579,238
41580,204
41581,305
41582,236
41583,380
41584,389
41585,223
41586,-53
41587,-46
41588,14
41589,-78
41590,-126
41591,-397
41592,-493
41593,-708
41594,-734
41595,-765
41596,-716
41597,-638
41598,-655
41599,-467
41600,-353
41601,-212
41602,-192
41603,-185
41604,36
41605,77
41606,261
41607,428
41608,419
41609,480
41610,671
41611,1041
41612,1290
41613,1470
41614,1592
41615,1429
41616,1142
41617,496
41618,-97
41619,-218
41620,132
41621,338
41622,-175
41623,-1056
41624,-1921
41625,-2290
41626,-2093
41627,-1478
41628,-1011
41629,-847
41630,-858
41631,-1185
41632,-1614
41633,-2172
41634,-2747
41635,-3055
41636,-3092
41637,-2511
41638,-1685
41639,-748
41640,-104
41641,130
41642,169
41643,411
41644,1373
41645,2832
41646,4470
41647,6033
41648,6472
41649,6078
41650,5445
41651,4803
41652,3517
41653,2398
41654,1802
41655,1480
41656,1275
41657,881
41658,160
41659,-574
41660,-1307
41661,-1660
41662,-1850
41663,-1951
41664,-1993
41665,-2011
41666,-2440
41667,-3085
41668,-3651
41669,-3748
41670,-3708
41671,-3110
41672,-2283
41673,-1618
41674,-921
41675,-790
41676,-761
41677,-1238
41678,-1810
41679,-1981
41680,-1883
41681,-1274
41682,-561
41683,-289
41684,-270
41685,-322
41686,-42
41687,250
41688,616
41689,1083
41690,1883
41691,2662
41692,3522
41693,4068
41694,4360
41695,4497
41696,4266
41697,3828
41698,3255
41699,2802
41700,2163
41701,1814
41702,1537
41703,994
41704,617
41705,-55
41706,-363
41707,-914
41708,-1461
41709,-1820
41710,-2131
41711,-2082
41712,-2173
41713,-2228
41714,-2542
41715,-2890
41716,-2643
41717,-2127
41718,-1552
41719,-655
41720,-272
41721,-261
41722,-595
41723,-880
41724,-578
41725,267
41726,1237
41727,2090
41728,2007
41729,1379
41730,373
41731,-961
41732,-2006
41733,-2467
41734,-2198
41735,-1393
41736,-47
41737,1014
41738,950
41739,312
41740,-797
41741,-1323
41742,-821
41743,481
41744,2159
41745,3077
41746,3258
41747,2681
41748,2160
41749,1787
41750,1488
41751,1331
41752,1145
41753,1486
41754,2262
41755,3292
41756,3469
41757,2465
41758,517
41759,-1414
41760,-2463
41761,-2721
41762,-2166
41763,-1774
41764,-1528
41765,-1712
41766,-1756
41767,-1605
41768,-1548
41769,-1532
41770,-1570
41771,-1224
41772,-746
41773,-313
41774,193
41775,595
41776,723
41777,528
41778,235
41779,-240
41780,-911
41781,-1401
41782,-1740
41783,-2234
41784,-2240
41785,-2358
41786,-1938
41787,-1378
41788,-632
41789,363
41790,1190
41791,1634
41792,1485
41793,1053
41794,845
41795,1123
41796,1796
41797,2476
41798,2560
41799,2246
41800,1945
41801,1834
41802,1863
41803,1738
41804,1811
41805,1568
41806,1022
41807,72
41808,-859
41809,-1524
41810,-1864
41811,-2035
41812,-2454
41813,-2707
41814,-2754
41815,-2212
41816,-1167
41817,-158
41818,593
41819,835
41820,533
41821,-223
41822,-958
41823,-1177
41824,-847
41825,328
41826,1982
41827,3418
41828,3961
41829,3196
41830,1359
41831,-907
41832,-2725
41833,-3563
41834,-3299
41835,-2190
41836,-713
41837,642
41838,1437
41839,1270
41840,503
41841,-243
41842,-310
41843,430
41844,1822
41845,2729
41846,2918
41847,1950
41848,527
41849,-575
41850,-715
41851,132
41852,1521
41853,2552
41854,2568
41855,1619
41856,181
41857,-1546
41858,-3097
41859,-4255
41860,-4809
41861,-4604
41862,-3639
41863,-2694
41864,-1764
41865,-1205
41866,-564
41867,190
41868,478
41869,495
41870,84
41871,-376
41872,-789
41873,-1196
41874,-1312
41875,-810
41876,769
41877,2684
41878,4036
41879,4370
41880,3630
41881,2103
41882,139
41883,-1443
41884,-2482
41885,-2578
41886,-1950
41887,-897
41888,599
41889,2139
41890,3181
41891,3260
41892,2394
41893,1367
41894,709
41895,933
41896,1201
41897,898
41898,259
41899,-444
41900,-584
41901,70
41902,1114
41903,2031
41904,2457
41905,1875
41906,573
41907,-1208
41908,-2892
41909,-3898
41910,-4257
41911,-3923
41912,-3278
41913,-2097
41914,-1235
41915,-336
41916,-38
41917,479
41918,676
41919,948
41920,748
41921,260
41922,-76
41923,-528
41924,-139
41925,664
41926,1879
41927,3269
41928,3873
41929,2848
41930,1980
41931,726
41932,-816
41933,-1701
41934,-2120
41935,-2413
41936,-2132
41937,-1640
41938,-1704
41939,-1582
41940,-98
41941,1703
41942,3336
41943,4031
41944,4440
41945,4037
41946,2510
41947,1002
41948,-615
41949,-1780
41950,-2107
41951,-721
41952,1561
41953,2830
41954,2632
41955,2214
41956,1443
41957,-23
41958,-2584
41959,-4579
41960,-4504
41961,-4003
41962,-3016
41963,-1978
41964,-1336
41965,-797
41966,-553
41967,-643
41968,-219
41969,-53
41970,-94
41971,-552
41972,-1411
41973,-2126
41974,-2299
41975,-1928
41976,-649
41977,285
41978,1489
41979,2510
41980,2940
41981,2261
41982,999
41983,-707
41984,-2106
41985,-1701
41986,-1941
41987,-1401
41988,-1087
41989,-907
41990,-537
41991,931
41992,2700
41993,3316
41994,2451
41995,2143
41996,1916
41997,533
41998,-591
41999,-890
42000,-311
42001,-82
42002,213
42003,633
42004,702
42005,337
42006,-194
42007,-1126
42008,-1755
42009,-2170
42010,-2409
42011,-2084
42012,-1767
42013,-2482
42014,-2752
42015,-2520
42016,-1049
42017,788
42018,2086
42019,2391
42020,1785
42021,33
42022,-1737
42023,-1680
42024,-947
42025,998
42026,2275
42027,2840
42028,2734
42029,2385
42030,2503
42031,3175
42032,3838
42033,2807
42034,1290
42035,113
42036,-364
42037,-1330
42038,-1966
42039,-1783
42040,-701
42041,612
42042,2371
42043,3595
42044,3017
42045,1055
42046,-344
42047,-1209
42048,-1753
42049,-2434
42050,-2802
42051,-1972
42052,-952
42053,-1628
42054,-2917
42055,-3377
42056,-3716
42057,-3779
42058,-3838
42059,-3973
42060,-3920
42061,-2963
42062,-2565
42063,-1948
42064,-2144
42065,-1743
42066,-322
42067,1788
42068,3406
42069,3991
42070,3525
42071,2626
42072,2068
42073,1110
42074,830
42075,1716
42076,3002
42077,3435
42078,3411
42079,3321
42080,3020
42081,2252
42082,1837
42083,1535
42084,584
42085,-863
42086,-1600
42087,-1011
42088,-653
42089,-443
42090,170
42091,214
42092,649
42093,1196
42094,1359
42095,1844
42096,1076
42097,-249
42098,-1355
42099,-983
42100,-697
42101,-486
42102,-1070
42103,-2004
42104,-2456
42105,-2563
42106,-2149
42107,-2177
42108,-3489
42109,-4794
42110,-5848
42111,-5606
42112,-4238
42113,-3111
42114,-1923
42115,-626
42116,380
42117,258
42118,388
42119,1079
42120,1059
42121,473
42122,164
42123,15
42124,-715
42125,-274
42126,889
42127,2240
42128,2432
42129,2601
42130,3398
42131,4154
42132,4198
42133,4071
42134,2671
42135,1565
42136,463
42137,596
42138,1740
42139,2705
42140,2345
42141,2189
42142,2978
42143,4056
42144,4216
42145,2513
42146,343
42147,-896
42148,-1511
42149,-1810
42150,-1313
42151,-1063
42152,-1045
42153,-1884
42154,-3243
42155,-4070
42156,-4483
42157,-3606
42158,-2715
42159,-2576
42160,-3491
42161,-4758
42162,-4744
42163,-3570
42164,-2343
42165,-1708
42166,-803
42167,911
42168,1853
42169,2304
42170,2199
42171,1047
42172,-528
42173,-714
42174,405
42175,1599
42176,2345
42177,2342
42178,2561
42179,2637
42180,1749
42181,582
42182,472
42183,-24
42184,-850
42185,-1446
42186,-2118
42187,-2509
42188,-2116
42189,-1277
42190,850
42191,2608
42192,3712
42193,3980
42194,3667
42195,2496
42196,892
42197,-871
42198,-2033
42199,-1731
42200,-333
42201,739
42202,922
42203,-199
42204,-1697
42205,-2689
42206,-2417
42207,-1788
42208,-1956
42209,-2263
42210,-2323
42211,-2499
42212,-2874
42213,-2616
42214,-1086
42215,223
42216,1389
42217,2179
42218,2030
42219,1157
42220,633
42221,459
42222,1124
42223,1602
42224,1088
42225,690
42226,986
42227,1473
42228,2063
42229,2967
42230,3519
42231,3992
42232,4234
42233,4056
42234,2747
42235,73
42236,-2722
42237,-4348
42238,-3695
42239,-838
42240,1849
42241,3535
42242,3652
42243,2130
42244,151
42245,-1469
42246,-2279
42247,-2991
42248,-3348
42249,-2955
42250,-2356
42251,-2792
42252,-3590
42253,-4340
42254,-4174
42255,-3549
42256,-3290
42257,-2397
42258,-1593
42259,-1404
42260,-1839
42261,-2078
42262,-2344
42263,-1825
42264,-191
42265,1373
42266,2058
42267,2119
42268,1782
42269,2152
42270,2526
42271,2225
42272,1982
42273,1942
42274,1880
42275,1503
42276,1353
42277,2207
42278,3700
42279,4518
42280,4530
42281,3641
42282,2576
42283,1741
42284,1059
42285,305
42286,-655
42287,-1899
42288,-2258
42289,-1447
42290,-210
42291,1418
42292,2012
42293,1180
42294,-144
42295,-23
42296,338
42297,198
42298,-682
42299,-2004
42300,-4121
42301,-4833
42302,-3857
42303,-2670
42304,-1481
42305,-1204
42306,-1522
42307,-2433
42308,-3243
42309,-3716
42310,-4206
42311,-4516
42312,-4287
42313,-3459
42314,-2173
42315,-701
42316,132
42317,406
42318,728
42319,912
42320,1018
42321,1868
42322,2661
42323,3282
42324,3022
42325,2337
42326,2463
42327,3444
42328,4088
42329,3915
42330,3532
42331,3650
42332,3961
42333,3925
42334,3392
42335,2032
42336,1366
42337,762
42338,514
42339,944
42340,1833
42341,2649
42342,2911
42343,2276
42344,937
42345,-740
42346,-939
42347,-786
42348,-1391
42349,-2164
42350,-3459
42351,-4220
42352,-4494
42353,-4268
42354,-3540
42355,-3375
42356,-3300
42357,-3481
42358,-3400
42359,-2759
42360,-2855
42361,-4057
42362,-4610
42363,-4686
42364,-3678
42365,-2297
42366,-606
42367,1082
42368,1737
42369,1448
42370,1022
42371,1354
42372,2007
42373,2276
42374,2070
42375,2038
42376,2232
42377,2359
42378,2380
42379,2766
42380,2997
42381,3205
42382,2806
42383,2570
42384,2254
42385,1402
42386,861
42387,1025
42388,1005
42389,936
42390,1770
42391,2437
42392,1659
42393,77
42394,-1369
42395,-1622
42396,-1047
42397,-201
42398,16
42399,-647
42400,-2454
42401,-4266
42402,-4986
42403,-3989
42404,-3003
42405,-2117
42406,-863
42407,-103
42408,-729
42409,-1674
42410,-2557
42411,-2688
42412,-2475
42413,-1507
42414,-212
