,M
1282,6
1283,4
1284,3
1285,4
1286,-1
1287,1
1288,-1
1289,5
1290,3
1291,3
1292,-1
1293,-1
1294,-2
1295,1
1296,0
1297,0
1298,-1
1299,-3
1300,-2
1301,-5
1302,-9
1303,-6
1304,-5
1305,-5
1306,-1
1307,-6
1308,-7
1309,-9
1310,-7
1311,-13
1312,-7
1313,-7
1314,-9
1315,-9
1316,-8
1317,-9
1318,-10
1319,-13
1320,-11
1321,-9
1322,-12
1323,-12
1324,-13
1325,-13
1326,-14
1327,-12
1328,-12
1329,-13
1330,-15
1331,-14
1332,-14
1333,-14
1334,-18
1335,-13
1336,-14
1337,-15
1338,-14
1339,-17
1340,-15
1341,-16
1342,-17
1343,-15
1344,-17
1345,-13
1346,-13
1347,-15
1348,-14
1349,-16
1350,-18
1351,-18
1352,-16
1353,-18
1354,-18
1355,-17
1356,-19
1357,-21
1358,-19
1359,-16
1360,-18
1361,-18
1362,-17
1363,-20
1364,-18
1365,-18
1366,-17
1367,-20
1368,-18
1369,-18
1370,-17
1371,-17
1372,-19
1373,-20
1374,-17
1375,-18
1376,-15
1377,-20
1378,-18
1379,-17
1380,-18
1381,-19
1382,-18
1383,-18
1384,-20
1385,-16
1386,-15
1387,-18
1388,-16
1389,-16
1390,-15
1391,-14
1392,-16
1393,-17
1394,-14
1395,-14
1396,-12
1397,-12
1398,-10
1399,-10
1400,-10
1401,-14
1402,-13
1403,-11
1404,-12
1405,-11
1406,-11
1407,-12
1408,-9
1409,-10
1410,-13
1411,-10
1412,-11
1413,-12
1414,-10
1415,-10
1416,-8
1417,-11
1418,-6
1419,-7
1420,-7
1421,-6
1422,-8
1423,-3
1424,-6
1425,-5
1426,-6
1427,-6
1428,-4
1429,-1
1430,-3
1431,-2
1432,-2
1433,-1
1434,-3
1435,-2
1436,-2
1437,-1
1438,0
1439,-1
1440,-2
1441,-3
1442,-1
1443,-2
1444,1
1445,0
1446,1
1447,1
1448,0
1449,-1
1450,-1
1451,0
1452,0
1453,3
1454,4
1455,2
1456,2
1457,-1
1458,-3
1459,2
1460,4
1461,4
1462,4
1463,5
1464,3
1465,2
1466,5
1467,6
1468,11
1469,7
1470,8
1471,7
1472,7
1473,9
1474,9
1475,8
1476,9
1477,12
1478,10
1479,13
1480,9
1481,11
1482,10
1483,14
1484,10
1485,13
1486,14
1487,16
1488,10
1489,14
1490,20
1491,13
1492,18
1493,14
1494,16
1495,18
1496,17
1497,14
1498,18
1499,18
1500,19
1501,18
1502,16
1503,19
1504,17
1505,22
1506,19
1507,25
1508,22
1509,21
1510,25
1511,22
1512,23
1513,20
1514,20
1515,24
1516,25
1517,21
1518,25
1519,22
1520,23
1521,21
1522,24
1523,23
1524,24
1525,24
1526,20
1527,24
1528,24
1529,23
1530,25
1531,26
1532,23
1533,24
1534,23
1535,24
1536,23
1537,25
1538,26
1539,27
1540,24
1541,26
1542,27
1543,25
1544,22
1545,27
1546,24
1547,21
1548,22
1549,23
1550,23
1551,26
1552,24
1553,24
1554,24
1555,21
1556,23
1557,23
1558,21
1559,22
1560,22
1561,23
1562,23
1563,22
1564,23
1565,22
1566,21
1567,19
1568,19
1569,22
1570,23
1571,21
1572,21
1573,17
1574,17
1575,20
1576,20
1577,20
1578,21
1579,20
1580,17
1581,18
1582,21
1583,20
1584,21
1585,20
1586,19
1587,17
1588,18
1589,21
1590,22
1591,22
1592,19
1593,19
1594,18
1595,21
1596,17
1597,19
1598,18
1599,21
1600,20
1601,18
1602,19
1603,17
1604,13
1605,17
1606,17
1607,18
1608,19
1609,16
1610,15
1611,14
1612,14
1613,16
1614,17
1615,15
1616,15
1617,17
1618,13
1619,11
1620,15
1621,12
1622,14
1623,15
1624,15
1625,14
1626,15
1627,15
1628,16
1629,16
1630,17
1631,18
1632,17
1633,17
1634,15
1635,16
1636,16
1637,17
1638,17
1639,18
1640,18
1641,21
1642,17
1643,16
1644,17
1645,18
1646,15
1647,22
1648,20
1649,16
1650,16
1651,19
1652,18
1653,20
1654,19
1655,22
1656,20
1657,18
1658,19
1659,19
1660,20
1661,19
1662,21
1663,20
1664,17
1665,22
1666,15
1667,17
1668,17
1669,20
1670,20
1671,21
1672,21
1673,20
1674,19
1675,18
1676,21
1677,21
1678,21
1679,19
1680,18
1681,19
1682,19
1683,20
1684,19
1685,20
1686,24
1687,22
1688,21
1689,22
1690,23
1691,19
1692,25
1693,20
1694,23
1695,21
1696,19
1697,21
1698,21
1699,19
1700,21
1701,20
1702,21
1703,21
1704,21
1705,20
1706,21
1707,26
1708,22
1709,21
1710,18
1711,21
1712,20
1713,18
1714,19
1715,22
1716,20
1717,22
1718,25
1719,21
1720,18
1721,20
1722,22
1723,23
1724,25
1725,23
1726,24
1727,24
1728,22
1729,23
1730,22
1731,23
1732,25
1733,24
1734,23
1735,27
1736,24
1737,21
1738,25
1739,26
1740,24
1741,26
1742,22
1743,26
1744,23
1745,27
1746,25
1747,24
1748,25
1749,23
1750,24
1751,25
1752,25
1753,24
1754,28
1755,27
1756,27
1757,26
1758,25
1759,26
1760,32
1761,29
1762,28
1763,30
1764,29
1765,28
1766,28
1767,32
1768,30
1769,32
1770,35
1771,33
1772,29
1773,36
1774,35
1775,30
1776,36
1777,37
1778,36
1779,37
1780,34
1781,41
1782,40
1783,37
1784,42
1785,40
1786,42
1787,43
1788,43
1789,42
1790,43
1791,40
1792,46
1793,43
1794,43
1795,44
1796,42
1797,41
1798,39
1799,41
1800,43
1801,42
1802,45
1803,46
1804,43
1805,45
1806,41
1807,43
1808,42
1809,41
1810,44
1811,41
1812,44
1813,42
1814,39
1815,43
1816,43
1817,41
1818,40
1819,41
1820,41
1821,41
1822,40
1823,41
1824,43
1825,42
1826,40
1827,40
1828,39
1829,42
1830,40
1831,38
1832,43
1833,42
1834,41
1835,36
1836,39
1837,41
1838,37
1839,40
1840,41
1841,38
1842,39
1843,36
1844,36
1845,38
1846,34
1847,37
1848,38
1849,33
1850,35
1851,33
1852,33
1853,29
1854,36
1855,31
1856,32
1857,32
1858,29
1859,31
1860,31
1861,29
1862,32
1863,32
1864,33
1865,29
1866,28
1867,29
1868,30
1869,28
1870,31
1871,29
1872,27
1873,25
1874,22
1875,24
1876,25
1877,26
1878,25
1879,25
1880,25
1881,26
1882,25
1883,24
1884,21
1885,24
1886,23
1887,24
1888,23
1889,19
1890,19
1891,19
1892,21
1893,19
1894,19
1895,20
1896,17
1897,18
1898,16
1899,16
1900,17
1901,16
1902,19
1903,17
1904,15
1905,12
1906,15
1907,13
1908,15
1909,12
1910,16
1911,15
1912,11
1913,10
1914,12
1915,14
1916,11
1917,12
1918,12
1919,9
1920,8
1921,11
1922,9
1923,10
1924,10
1925,11
1926,7
1927,11
1928,8
1929,9
1930,8
1931,6
1932,8
1933,8
1934,7
1935,6
1936,5
1937,4
1938,4
1939,4
1940,0
1941,3
1942,3
1943,2
1944,0
1945,2
1946,0
1947,2
1948,1
1949,2
1950,1
1951,-2
1952,0
1953,-3
1954,-3
1955,-3
1956,-1
1957,-2
1958,-1
1959,-4
1960,-5
1961,-1
1962,-3
1963,-4
1964,-5
1965,-8
1966,-4
1967,-9
1968,-5
1969,-9
1970,-8
1971,-8
1972,-7
1973,-6
1974,-8
1975,-10
1976,-10
1977,-15
1978,-10
1979,-10
1980,-11
1981,-11
1982,-14
1983,-16
1984,-12
1985,-17
1986,-14
1987,-13
1988,-13
1989,-15
1990,-16
1991,-16
1992,-14
1993,-16
1994,-15
1995,-21
1996,-17
1997,-16
1998,-17
1999,-19
2000,-18
2001,-17
2002,-17
2003,-17
2004,-17
2005,-18
2006,-19
2007,-21
2008,-18
2009,-18
2010,-18
2011,-21
2012,-20
2013,-17
2014,-18
2015,-18
2016,-20
2017,-20
2018,-19
2019,-17
2020,-22
2021,-21
2022,-23
2023,-21
2024,-18
2025,-16
2026,-18
2027,-22
2028,-20
2029,-18
2030,-20
2031,-21
2032,-19
2033,-19
2034,-23
2035,-17
2036,-19
2037,-20
2038,-17
2039,-18
2040,-19
2041,-19
2042,-19
2043,-16
2044,-18
2045,-21
2046,-19
2047,-23
2048,-17
2049,-17
2050,-17
2051,-21
2052,-18
2053,-19
2054,-22
2055,-20
2056,-19
2057,-15
2058,-17
2059,-20
2060,-21
2061,-19
2062,-21
2063,-19
2064,-15
2065,-18
2066,-20
2067,-19
2068,-16
2069,-20
2070,-15
2071,-17
2072,-16
2073,-18
2074,-16
2075,-17
2076,-16
2077,-12
2078,-15
2079,-15
2080,-13
2081,-11
2082,-14
2083,-16
2084,-12
2085,-13
2086,-12
2087,-10
2088,-13
2089,-13
2090,-15
2091,-15
2092,-11
2093,-11
2094,-14
2095,-12
2096,-11
2097,-12
2098,-13
2099,-8
2100,-12
2101,-11
2102,-8
2103,-6
2104,-10
2105,-11
2106,-11
2107,-10
2108,-11
2109,-11
2110,-8
2111,-6
2112,-6
2113,-9
2114,-11
2115,-9
2116,-10
2117,-8
2118,-10
2119,-9
2120,-8
2121,-9
2122,-11
2123,-10
2124,-8
2125,-9
2126,-9
2127,-8
2128,-9
2129,-7
2130,-7
2131,-12
2132,-9
2133,-13
2134,-8
2135,-11
2136,-9
2137,-10
2138,-6
2139,-10
2140,-9
2141,-12
2142,-9
2143,-7
2144,-11
2145,-11
2146,-10
2147,-9
2148,-9
2149,-11
2150,-8
2151,-7
2152,-14
2153,-11
2154,-10
2155,-10
2156,-10
2157,-9
2158,-9
2159,-12
2160,-8
2161,-10
2162,-12
2163,-13
2164,-8
2165,-10
2166,-8
2167,-8
2168,-7
2169,-8
2170,-10
2171,-9
2172,-10
2173,-8
2174,-11
2175,-10
2176,-9
2177,-12
2178,-8
2179,-7
2180,-11
2181,-11
2182,-10
2183,-8
2184,-8
2185,-11
2186,-8
2187,-9
2188,-11
2189,-9
2190,-6
2191,-9
2192,-8
2193,-6
2194,-10
2195,-9
2196,-8
2197,-5
2198,-10
2199,-9
2200,-8
2201,-8
2202,-9
2203,-11
2204,-8
2205,-9
2206,-9
2207,-7
2208,-8
2209,-9
2210,-9
2211,-10
2212,-10
2213,-9
2214,-9
2215,-11
2216,-9
2217,-11
2218,-10
2219,-12
2220,-10
2221,-11
2222,-13
2223,-10
2224,-14
2225,-11
2226,-10
2227,-14
2228,-15
2229,-12
2230,-15
2231,-14
2232,-15
2233,-14
2234,-14
2235,-14
2236,-15
2237,-13
2238,-17
2239,-16
2240,-14
2241,-16
2242,-13
2243,-12
2244,-16
2245,-15
2246,-15
2247,-16
2248,-13
2249,-17
2250,-22
2251,-15
2252,-16
2253,-17
2254,-17
2255,-20
2256,-18
2257,-19
2258,-18
2259,-18
2260,-17
2261,-21
2262,-20
2263,-22
2264,-16
2265,-21
2266,-21
2267,-20
2268,-22
2269,-20
2270,-19
2271,-18
2272,-19
2273,-19
2274,-14
2275,-19
2276,-23
2277,-22
2278,-21
2279,-21
2280,-19
2281,-20
2282,-19
2283,-21
2284,-21
2285,-20
2286,-21
2287,-21
2288,-19
2289,-19
2290,-20
2291,-19
2292,-22
2293,-21
2294,-22
2295,-20
2296,-23
2297,-24
2298,-16
2299,-21
2300,-23
2301,-25
2302,-22
2303,-23
2304,-24
2305,-25
2306,-23
2307,-29
2308,-27
2309,-28
2310,-23
2311,-24
2312,-26
2313,-24
2314,-27
2315,-28
2316,-25
2317,-24
2318,-24
2319,-22
2320,-23
2321,-25
2322,-28
2323,-26
2324,-25
2325,-24
2326,-24
2327,-25
2328,-29
2329,-27
2330,-27
2331,-24
2332,-29
2333,-26
2334,-27
2335,-27
2336,-32
2337,-28
2338,-31
2339,-30
2340,-30
2341,-30
2342,-30
2343,-30
2344,-29
2345,-32
2346,-30
2347,-28
2348,-32
2349,-34
2350,-36
2351,-31
2352,-31
2353,-36
2354,-34
2355,-35
2356,-32
2357,-33
2358,-31
2359,-35
2360,-37
2361,-37
2362,-36
2363,-38
2364,-34
2365,-35
2366,-39
2367,-36
2368,-36
2369,-38
2370,-41
2371,-38
2372,-38
2373,-36
2374,-38
2375,-36
2376,-41
2377,-36
2378,-39
2379,-40
2380,-39
2381,-38
2382,-38
2383,-40
2384,-40
2385,-38
2386,-40
2387,-41
2388,-40
2389,-40
2390,-39
2391,-39
2392,-40
2393,-41
2394,-40
2395,-41
2396,-40
2397,-37
2398,-39
2399,-40
2400,-40
2401,-41
2402,-37
2403,-38
2404,-40
2405,-42
2406,-42
2407,-42
2408,-43
2409,-40
2410,-39
2411,-38
2412,-44
2413,-39
2414,-41
2415,-43
2416,-45
2417,-40
2418,-41
2419,-43
2420,-39
2421,-41
2422,-42
2423,-40
2424,-42
2425,-42
2426,-42
2427,-42
2428,-41
2429,-41
2430,-42
2431,-42
2432,-39
2433,-40
2434,-40
2435,-41
2436,-40
2437,-40
2438,-39
2439,-41
2440,-41
2441,-38
2442,-38
2443,-38
2444,-39
2445,-41
2446,-38
2447,-39
2448,-36
2449,-41
2450,-38
2451,-35
2452,-37
2453,-38
2454,-36
2455,-41
2456,-39
2457,-38
2458,-35
2459,-36
2460,-37
2461,-40
2462,-36
2463,-39
2464,-31
2465,-35
2466,-35
2467,-37
2468,-36
2469,-37
2470,-37
2471,-33
2472,-33
2473,-34
2474,-33
2475,-33
2476,-35
2477,-35
2478,-32
2479,-35
2480,-33
2481,-32
2482,-32
2483,-32
2484,-30
2485,-33
2486,-30
2487,-30
2488,-32
2489,-30
2490,-28
2491,-32
2492,-33
2493,-32
2494,-32
2495,-31
2496,-36
2497,-33
2498,-29
2499,-33
2500,-30
2501,-31
2502,-31
2503,-30
2504,-29
2505,-30
2506,-29
2507,-29
2508,-32
2509,-31
2510,-33
2511,-28
2512,-27
2513,-26
2514,-32
2515,-28
2516,-30
2517,-29
2518,-32
2519,-30
2520,-30
2521,-30
2522,-31
2523,-27
2524,-30
2525,-27
2526,-30
2527,-28
2528,-27
2529,-29
2530,-28
2531,-30
2532,-29
2533,-29
2534,-29
2535,-27
2536,-26
2537,-27
2538,-28
2539,-30
2540,-30
2541,-31
2542,-25
2543,-29
2544,-26
2545,-30
2546,-27
2547,-28
2548,-26
2549,-25
2550,-25
2551,-25
2552,-23
2553,-24
2554,-28
2555,-23
2556,-26
2557,-23
2558,-23
2559,-23
2560,-19
2561,-24
2562,-23
2563,-25
2564,-23
2565,-19
2566,-19
2567,-21
2568,-16
2569,-16
2570,-21
2571,-16
2572,-21
2573,-15
2574,-17
2575,-14
2576,-14
2577,-14
2578,-15
2579,-16
2580,-13
2581,-14
2582,-10
2583,-12
2584,-11
2585,-12
2586,-12
2587,-10
2588,-7
2589,-10
2590,-7
2591,-8
2592,-9
2593,-12
2594,-11
2595,-9
2596,-5
2597,-9
2598,-5
2599,-6
2600,-9
2601,-8
2602,-6
2603,-6
2604,-6
2605,-3
2606,-8
2607,-5
2608,-3
2609,-5
2610,-5
2611,-4
2612,-3
2613,-4
2614,-4
2615,-1
2616,-1
2617,-1
2618,-3
2619,-1
2620,1
2621,0
2622,-1
2623,-2
2624,-1
2625,-8
2626,-4
2627,-3
2628,-2
2629,0
2630,-3
2631,-4
2632,-2
2633,-5
2634,-3
2635,-4
2636,-3
2637,-5
2638,-4
2639,-5
2640,-5
2641,-6
2642,-5
2643,-6
2644,-2
2645,-5
2646,-5
2647,-5
2648,-8
2649,-5
2650,-6
2651,-6
2652,-5
2653,-4
2654,-8
2655,-4
2656,-7
2657,-7
2658,-4
2659,-6
2660,-4
2661,-5
2662,-6
2663,-6
2664,-8
2665,-6
2666,-4
2667,-4
2668,-3
2669,-8
2670,-7
2671,-5
2672,-9
2673,-6
2674,-4
2675,-5
